SN  ,  lost, People, died, Zika, Fisher, International, your, publicist, first, Carrie, virus, best, Trump, actor, years, George, Michael, Breaking, Zsa, daughter, old, role, Actor, longtime, sitcom, Thicke, decades, author, dies, off, now, Reynolds, Turner, Debbie, credit, APR, NextAdvisor, career, John, Star, Singer, Search, Wars, Growing, away, Glenn, Alan, Actress, day, Lake, about,Category
56,12,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,4,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1, entertainment
57,13,13,12,0,3,0,1,4,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
58,12,12,11,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0, entertainment
59,12,12,11,0,3,0,0,3,2,2,0,2,0,6,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,7,1,1,0,0, entertainment
60,10,10,9,0,4,0,0,3,1,3,0,2,0,6,2,3,3,1,2,3,2,2,2,2,2,2,2,1,9,1,0,2,1,2,0,0,0,2,1,1,2,1,1,2,1,0,1,2,1,0,0, entertainment
61,12,12,12,0,3,0,0,3,3,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
62,12,11,10,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,3,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,3,1,1,1,1,1,1,1,1,0,0, entertainment
63,12,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,3,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
64,12,12,12,0,3,0,0,3,2,2,0,2,0,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
65,10,10,9,0,4,0,2,3,1,3,0,3,0,3,2,3,3,1,2,2,2,2,2,2,2,2,2,1,7,1,0,2,1,2,0,0,0,2,1,1,2,1,1,2,2,0,1,2,1,0,0, entertainment
66,13,13,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,2,0, entertainment
67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0, entertainment
68,13,13,13,0,3,0,0,4,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
69,13,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
70,12,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
71,13,13,11,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0, entertainment
72,12,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,3,3,2,3,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
73,13,13,11,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,3,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0, entertainment
74,13,13,11,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2, entertainment
75,12,12,12,0,3,0,0,3,2,2,0,2,0,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
76,12,12,12,0,3,0,0,3,2,2,0,2,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
77,9,9,8,0,3,0,0,3,1,2,0,3,1,2,3,1,1,1,2,2,2,1,2,2,1,1,1,1,2,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,2,1,0,0, entertainment
78,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,2,1,2,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0, entertainment
79,12,12,12,0,3,0,0,3,2,2,0,2,0,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0, entertainment
80,10,10,9,0,4,0,0,3,1,3,0,3,0,2,2,3,3,1,2,2,2,2,2,2,2,2,2,1,7,0,0,2,1,2,0,0,0,2,1,1,2,1,1,2,3,0,1,2,2,0,0, entertainment
81,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,4, entertainment
82,11,10,10,0,4,0,0,3,1,3,0,2,0,4,2,3,3,1,2,2,2,2,2,2,2,2,2,1,7,1,0,2,1,2,0,0,0,2,1,4,2,1,1,2,3,0,1,2,1,0,0, entertainment
83,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0, entertainment
84,10,10,9,0,4,0,0,4,1,3,0,2,0,2,2,3,3,1,16,2,2,2,2,3,2,1,2,1,9,0,0,2,1,2,0,0,0,1,1,1,2,1,1,2,1,0,1,2,1,0,0, entertainment
89,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, health
90,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, health
91,0,0,0,17,0,4,1,0,2,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, health
92,0,0,1,8,0,3,4,0,3,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2, health
93,0,0,0,29,0,3,5,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2, health
94,0,0,0,31,0,3,2,0,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, health
95,0,0,0,3,0,3,3,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, health
96,0,0,0,29,0,3,5,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2, health
97,1,0,2,0,0,3,0,0,5,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,9,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,35,1,0,0,0,0, health
98,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, health
99,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1, health
100,0,1,1,0,32,3,1,0,1,16,0,2,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,8,1,0,8,0,0,0,0,0,0,0,1, health
101,0,0,0,35,0,3,1,0,2,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2, health
102,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, health
103,0,0,0,31,0,3,5,0,1,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2, health
104,0,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, health
105,0,0,1,29,0,3,5,0,2,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2, health
106,0,0,0,29,0,3,5,0,2,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2, health
107,10,10,8,0,15,3,1,3,1,13,0,2,0,0,2,1,1,1,2,2,2,2,2,2,2,2,2,1,3,0,0,2,1,1,0,0,0,1,0,2,1,0,2,1,1,0,1,1,1,0,1, health
108,0,0,0,30,0,3,4,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2, health
109,0,0,0,3,0,3,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2, health
110,0,0,0,18,0,4,1,0,2,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, health
111,0,0,0,29,0,3,4,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1, health
